Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-November-2017,148.00,148.50,145.60,146.60,146.716561897498330167,844396,4041,123886878.00,440987,52.23,2.90,-1.40
1-November-2017,147.00,154.70,146.30,148.10,149.185781741867785939,5718000,22238,853044300.00,2712865,47.44,8.40,1.10
31-October-2017,145.50,147.40,143.20,143.85,145.204223843453061169,1619757,11860,235195558.00,810313,50.03,4.20,-1.65
30-October-2017,144.55,148.70,141.85,142.80,145.766714101074454613,2221313,10047,323793497.00,1024824,46.14,6.85,-1.75
27-October-2017,146.00,147.50,143.00,144.55,145.859182460391852038,699856,3358,102080424.00,351250,50.19,4.50,-1.45
26-October-2017,148.40,149.25,145.50,145.95,147.063990975143569844,919239,5112,135186956.00,520462,56.62,3.75,-2.45
25-October-2017,151.95,152.00,147.20,148.30,149.282478258265743637,1235642,6185,184459700.00,694305,56.19,4.80,-3.65
24-October-2017,148.05,153.00,147.55,150.25,151.120919248310091444,3228725,10587,487927890.00,1068681,33.10,5.45,2.20
23-October-2017,146.00,150.00,146.00,148.50,148.134517470856361635,1304916,4473,193303102.00,595843,45.66,4.00,2.50
19-October-2017,145.85,146.55,145.20,145.80,145.841275529070661653,611166,2139,89133229.00,409331,66.98,1.35,-0.05
18-October-2017,146.90,147.90,144.00,145.10,145.503823905476331050,1380395,5071,200852751.00,721411,52.26,3.90,-1.80
17-October-2017,149.05,151.30,146.60,147.95,149.352718371694148441,1284427,5402,191832664.00,665516,51.81,4.70,-1.10
16-October-2017,146.00,151.80,145.65,149.05,149.273675654387348993,2384253,8848,355906209.00,1202081,50.42,6.15,3.05
13-October-2017,145.70,146.90,143.55,145.35,145.366203975025726455,866812,4651,126005170.00,488325,56.34,3.35,-0.35
12-October-2017,145.20,146.25,143.25,145.15,145.090741727965622473,864751,4560,125467364.00,462844,53.52,3.00,-0.05
11-October-2017,144.50,147.00,140.20,145.25,144.495861033067006743,1922702,8685,277822481.00,945363,49.17,6.80,0.75
10-October-2017,140.30,146.00,139.70,144.70,142.971108868429114021,1596303,8176,228225210.00,677050,42.41,6.30,4.40
9-October-2017,140.00,142.45,140.00,141.15,141.155337432628749572,1080023,6524,152451011.00,593403,54.94,2.45,1.15
6-October-2017,140.50,142.50,139.25,140.00,140.324807578448786264,1427205,5832,200272267.00,783268,54.88,3.25,-0.50
5-October-2017,138.95,142.50,138.95,141.20,141.182214988326700713,1793409,11310,253197455.00,848198,47.30,3.55,2.25
4-October-2017,131.00,138.90,130.85,137.90,135.927502002032259426,2415046,12460,328271170.00,978050,40.50,8.05,6.90
3-October-2017,129.00,131.00,129.00,130.15,130.056046393852319142,1089972,4469,141757449.00,644861,59.16,2.00,1.15
29-September-2017,127.25,130.90,127.00,128.05,128.923875933166687854,1423781,6346,183559365.00,892710,62.70,3.90,0.80
28-September-2017,131.00,132.00,126.30,127.25,128.665230534900442132,1762141,8165,226726278.00,684671,38.85,5.70,-3.75
27-September-2017,136.50,138.20,128.50,130.10,132.005282018598343840,5306494,25106,700485237.00,3518785,66.31,9.70,-6.40
26-September-2017,140.40,141.35,135.50,136.40,138.104004837165166624,2765256,19382,381892928.00,1461791,52.86,5.85,-4.00
25-September-2017,144.00,144.50,133.80,143.25,139.342734629674206174,2696153,14011,375689332.00,1325679,49.17,10.70,-0.75
22-September-2017,143.00,145.25,141.65,143.35,143.482630957693739750,2650837,24977,380349067.00,1565409,59.05,3.60,0.35
21-September-2017,144.00,148.90,141.50,145.55,144.710063237307562040,2367906,15173,342659827.00,1360613,57.46,7.40,1.55
20-September-2017,144.25,145.80,143.05,144.05,144.230570228643119203,1348652,14346,194516847.00,905104,67.11,2.75,-0.20
19-September-2017,144.25,147.75,143.05,145.80,146.045371454250704107,1740147,15700,254140415.00,743228,42.71,4.70,1.55
18-September-2017,142.00,146.00,141.80,143.90,143.640662871725552344,2059584,9750,295840011.00,1103613,53.58,4.20,1.90
15-September-2017,145.40,146.50,141.50,141.95,143.150439831951530938,1953246,8004,279608024.00,1067598,54.66,5.00,-3.45
14-September-2017,144.60,148.50,144.00,145.00,145.787087271666378697,1765235,7984,257348469.00,747040,42.32,4.50,0.40
13-September-2017,146.80,150.10,143.10,144.60,147.512108195644877975,4383023,14772,646548963.00,1826904,41.68,7.00,-2.20
12-September-2017,140.90,147.90,140.65,146.55,145.144502078078771781,5783467,19268,839438438.00,2905545,50.24,7.25,5.65
11-September-2017,138.10,142.35,135.25,140.55,139.737755153830886775,5280344,19816,737863417.00,2059223,39.00,7.10,2.45
8-September-2017,132.00,139.50,130.90,138.10,136.111022448623671693,7333679,20699,998194547.00,2801259,38.20,8.60,6.10
7-September-2017,128.90,132.40,128.25,129.30,130.306035989853110169,1816123,6880,236651789.00,920929,50.71,4.15,0.40
6-September-2017,127.00,128.25,126.25,127.60,127.463426411651624254,1534550,5031,195599001.00,1036260,67.53,2.00,0.60
5-September-2017,127.70,129.55,126.90,127.25,127.952844912493370709,791940,2977,101330976.00,303800,38.36,2.65,-0.45
4-September-2017,129.50,130.00,126.00,127.15,127.372195698050376565,1291275,4377,164472532.00,641106,49.65,4.00,-2.35
1-September-2017,130.50,133.00,129.40,130.05,130.980767356556504237,1385197,5027,181434166.00,474497,34.25,3.60,-0.45
31-August-2017,131.30,132.45,129.90,130.85,131.335340198072289485,1463809,5479,192249853.00,645072,44.07,2.55,-0.45
30-August-2017,127.40,131.40,127.10,130.55,129.443414976227944762,2097631,9774,271524520.00,979241,46.68,4.30,3.15
29-August-2017,125.00,129.10,125.00,125.90,126.725448773865194036,1524710,4899,193219559.00,597432,39.18,4.10,0.90
